id,date,who
l:intro,2014-01-13,"ambite,szekely"
l:rdf,2014-01-15,szekely
l:rdfs,2014-01-22,szekely
l:sparql,2014-01-27,szekely
l:linked-data,2014-01-29,szekely
l:record-linkage-string-matching,2014-02-03,szekely
l:record-linkage-record-matching,2014-02-05,ambite
l:database-theory-basics,2014-02-10,ambite
l:glav,2014-02-12,ambite
l:glav,2014-02-19,ambite
l:schema-mapping,2014-02-24,ambite
l:rdf-mapping,2014-02-26,szekely
l:karma,2014-03-03,szekely
l:automatic-modeling,2014-03-05,ambite
l:data-cleaning,2014-03-10,szekely
l:wrapper-generation,2014-03-12,ambite
l:wrapper-learning,2014-03-24,ambite
l:owl2-basics,2014-03-26,ambite
l:owl2-profiles,2014-03-31,ambite
l:social-data-analysis,2014-04-02,lerman
l:ontology-based-integration,2014-04-07,ambite
l:mashup-principles,2014-04-09,szekely
l:mashup-tools,2014-04-14,szekely
l:intellectual-property,2014-04-16,knoblock
l:big-data,2014-04-21,slepicka
l:linked-services,2014-04-23,taheriyan
l:review,,"ambite,szekely"
l:project-presentations-1,2014-04-28,"ambite,szekely,slepicka"
l:project-presentations-2,2014-04-30,"ambite,szekely,slepicka"
project:form-groups,2014-01-30,
project:proposal,2014-03-09,
project:presentation,2014-04-28,
project:paper,2014-05-06,
project:video,2014-05-06,
project:demonstration,2014-05-06,
hw:academic-integrity,2014-01-15,
hw:rdf,2014-01-26,
hw:sparql,2014-02-10,
hw:karma,2014-02-24,
hw:triple-stores,2014-02-16,
hw:mashups,2014-03-03,
hw:record-linkage,2014-02-17,
hw:information-extraction,2014-03-10,
final,2014-05-09,
l:entity-extraction,2014-02-26,szekely
l:open-information-extraction,2014-03-03,"ambite,szekely"
